CDS	UCE	coding_UCE	nocoding_UCE
3.539223458	5.160319396	8.681459874	4.733665567
1.500630746	0.93823989	0	1.051925681
0.141568938	0.469119945	0	0.525962841
2.123534075	0.93823989	0	1.051925681
0.707844692	2.345599725	0	2.629814204
3.482595883	7.036799176	0	7.889442611
6.087464348	10.78975874	13.02218981	10.51925681
1.840396198	1.87647978	4.340729937	1.577888522
2.774751191	5.160319396	0	5.785591248
1.075923931	0	0	0
0.934354993	0	0	0
1.981965137	2.81471967	0	3.155777044
1.500630746	1.407359835	0	1.577888522
2.491613315	1.87647978	0	2.103851363
2.604868465	1.87647978	0	2.103851363
2.746437404	3.75295956	4.340729937	3.681739885
0.906041205	0.469119945	4.340729937	0
0.424706815	0.469119945	0	0.525962841
0.36807924	0	0	0
2.54824089	5.629439341	4.340729937	5.785591248
1.528944534	3.283839615	4.340729937	3.155777044
3.87898891	3.75295956	4.340729937	3.681739885
0.679530904	0.469119945	0	0.525962841
1.642199685	0.93823989	0	1.051925681
0.764472267	1.87647978	0	2.103851363
0.113255151	0	0	0
3.199458006	3.283839615	0	3.681739885
4.24706815	5.629439341	4.340729937	5.785591248
0.622903329	0.93823989	0	1.051925681
1.21749287	1.407359835	4.340729937	1.051925681
8.239312211	8.913278956	8.681459874	8.941368292
0.113255151	0	0	0
0.509648178	1.407359835	4.340729937	1.051925681
0.707844692	2.345599725	8.681459874	1.577888522
0.339765452	0	0	0
2.54824089	2.345599725	0	2.629814204
1.528944534	1.87647978	4.340729937	1.577888522
2.633182253	7.036799176	0	7.889442611
1.557258322	2.81471967	8.681459874	2.103851363
0.169882726	0	0	0
0.906041205	0.93823989	4.340729937	0.525962841
3.624164821	5.160319396	0	5.785591248
3.51090967	5.160319396	4.340729937	5.259628407
0.339765452	0.469119945	0	0.525962841
2.661496041	2.81471967	4.340729937	2.629814204
1.019296356	3.75295956	8.681459874	3.155777044
3.341026944	3.75295956	0	4.207702726
0.990982568	2.81471967	0	3.155777044
1.21749287	2.81471967	4.340729937	2.629814204
3.086202855	7.505919121	0	8.415405452
0.792786055	1.407359835	0	1.577888522
2.293416801	2.345599725	8.681459874	1.577888522
2.463299527	3.283839615	4.340729937	3.155777044
1.557258322	0.469119945	0	0.525962841
0.226510301	0.469119945	0	0.525962841
0.651217116	0.93823989	0	1.051925681
0.48133439	0.469119945	4.340729937	0
0.48133439	0.469119945	0	0.525962841
0.254824089	0.93823989	0	1.051925681
1.245806657	0.469119945	4.340729937	0
