type	count_UCE_noncoding
EGAC	5
PRAD	0
PRAD	5
EGAC	7
CNSC	0
Lymphoma	6
HCC	7
PACA	6
CNSC	0
THCA	3
PACA	2
CLL	3
CNSC	1
PNET	2
HCC	3
CRC	21
RCC	6
BSTC	3
THCA	2
EGAC	0
HCC	17
RCC	0
RCC	4
RCC	9
PACA	2
EGAC	37
EGAC	17
NSCLC	23
THCA	4
HCC	11
THCA	2
CNSC	0
RCC	1
Lymphoma	3
PACA	8
CNSC	0
CNSC	5
EGAC	8
PACA	5
HCC	0
UCEC	3
HCC	4
PACA	5
CRC	10
OV	5
CLL	1
THCA	0
HCC	13
HCC	5
NSCLC	8
HCC	3
RCC	7
PRAD	0
BRCA	11
OV	3
CNSC	0
BSTC	4
CNSC	2
HCC	2
OV	5
CNSC	0
EGAC	8
PACA	6
Lymphoma	2
CNSC	1
RCC	10
PACA	3
NSCLC	6
HCC	12
PRAD	0
NSCLC	24
EGAC	19
CNSC	0
PRAD	0
HCC	11
PNET	1
EGAC	28
EGAC	1
BSTC	0
CNSC	0
PACA	4
PACA	3
HCC	7
HCC	4
RCC	2
HCC	4
HNSC	8
RCC	10
PACA	2
HCC	12
OV	8
CNSC	2
BRCA	1
BRCA	3
PNET	1
CRC	544
OV	4
CLL	1
PRAD	1
CNSC	1
PRAD	0
RCC	11
CNSC	0
BRCA	1
PRAD	3
HCC	8
EGAC	18
EGAC	7
BRCA	0
PNET	4
CNSC	2
HCC	4
CNSC	0
UCEC	4
HCC	18
PNET	8
BRCA	3
CLL	0
HCC	11
PRAD	2
Cholangio	2
CNSC	0
OV	9
PACA	7
PRAD	1
PRAD	2
Cholangio	0
HCC	8
NSCLC	35
CNSC	0
RCC	2
EGAC	6
CNSC	0
PACA	3
EGAC	15
UCEC	1
HCC	9
HNSC	1
RCC	0
CNSC	1
PRAD	0
CNSC	0
Lymphoma	5
NSCLC	28
PACA	0
BRCA	11
PNET	0
PNET	7
HCC	7
PACA	4
BSTC	1
RCC	1
PACA	6
CNSC	0
HCC	10
BSTC	3
PACA	10
PRAD	0
PACA	4
PRAD	1
UCEC	104
BRCA	1
HCC	16
PRAD	1
BRCA	2
PACA	9
RCC	1
BRCA	8
OV	6
PACA	2
BRCA	5
PRAD	1
HCC	12
Cholangio	1
PACA	4
CNSC	0
RCC	20
CRC	9
PACA	6
CNSC	0
PACA	4
Cholangio	207
HNSC	4
HCC	10
CLL	5
Lymphoma	3
PRAD	3
NSCLC	10
Cholangio	4
HCC	6
EGAC	7
THCA	0
PACA	10
PACA	42
RCC	3
PRAD	6
EGAC	7
CRC	9
Cholangio	1
HCC	2
Lymphoma	3
THCA	1
THCA	1
PNET	2
BTCA	6
PACA	8
PRAD	5
Cholangio	2
Lymphoma	1
NSCLC	14
RCC	5
EGAC	10
BSTC	0
HCC	3
PRAD	0
OV	6
PRAD	4
NSCLC	56
CNSC	0
EGAC	8
PNET	2
HCC	10
Cholangio	0
PRAD	4
BRCA	5
BRCA	0
CLL	0
PACA	3
EGAC	11
CESC	4
RCC	6
CNSC	0
Cholangio	0
HCC	15
PACA	3
PNET	0
EGAC	47
PACA	13
PACA	3
PACA	8
HCC	7
BRCA	7
PACA	4
BLCA	8
EGAC	14
BSTC	6
HCC	12
CLL	0
CRC	7
PRAD	7
BSTC	1
PACA	1
CESC	7
NSCLC	21
PRAD	4
CNSC	1
HCC	6
THCA	1
EGAC	13
EGAC	118
PRAD	5
HNSC	6
HCC	14
HCC	8
EGAC	12
PACA	3
HCC	1
CNSC	1
PACA	4
PACA	3
HCC	11
CLL	2
CNSC	0
EGAC	19
HCC	7
HCC	11
PACA	7
OV	2
PRAD	6
CESC	7
PRAD	1
BLCA	3
OV	10
HCC	3
HCC	1
OV	6
HNSC	3
HCC	15
HCC	11
CRC	16
Lymphoma	1
RCC	0
PACA	9
EGAC	0
Lymphoma	9
RCC	5
PACA	15
HNSC	6
HCC	9
Lymphoma	5
UCEC	1
UCEC	1
PRAD	3
HCC	7
HNSC	13
CNSC	0
CESC	3
PACA	5
PRAD	2
PRAD	3
BRCA	10
