CDS	UTR	IGR	Intron	ncRNA	HSRE
0	0	0	0	0	0
0	0	0.635847	0.865469	0	0.212983257
0.423003	0	0	0	0	0.212983257
0.423003	0.463985	0.476885	0.28849	0.559638	0.690104511
0	0	0	0	0	0
1.103465044	0	0.317924	0	0	0
0.423003	0	0	0.144245	0	0
0.423003	0	0.476885	0	0	0
0	0	0	0	0	0.212983257
0	0.463985	0.476885	0.144245	0.279819	0.212983257
0.423003	0.927971	0.476885	0.576979	0	0.690104511
0.423003	0	0.476885	0.432734	0.559638	0
0	0	0	0	0	0
0.423003	0	0	0.144245	0.279819	0.212983257
0.423003	0.463985	0.158962	0.28849	0	0.514013252
0	0	0.953771	0.432734	0	0.690104511
0	0.463985	0.158962	0.432734	0.279819	0.815043248
0.423003	0	0.158962	0.144245	0	0
0.423003	0.463985	0	0	0	0
0	0	0	0	0.279819	0
0	0.463985	1.280473654	1.238282014	0.839457	0.991134507
0	0	0.476885	0.432734	0	0.514013252
0	0	0	0.576979	0	0.212983257
0.423003	0	0.158962	0	0	0
0	0	0.476885	0.28849	0	0.690104511
0	0.463985	0	0	0	0
0	0	0	0	0	0
0	0	0	0.28849	0	0
0	0	0.476885	0.144245	0.279819	0.212983257
0	0	0	0	0	0
0	0	0.635847	0.144245	0	0
0.846006	0.463985	1.242685507	0.721224	1.048938744	0.514013252
0.423003	0.927971	0.317924	0.721224	0.279819	0
0.846006	0	0.794809	0.576979	1.225027416	0.514013252
0.423003	0.463985	0	0	0.279819	0.212983257
0	0	0.794809	0.721224	0.279819	0.911953261
0.423003	0.463985	0.794809	1.062190755	0.279819	0.514013252
0	0.463985	0	0	0	0.212983257
0	0	0	0	0	0.212983257
0	0.463985	0.317924	0	0	0.514013252
0	0	0.158962	0.144245	0	0
0.846006	0.463985	0.158962	0.28849	0.559638	0
0	0	0.158962	0	0.279819	0
0	0	1.201293318	1.062190755	0.559638	0.690104511
0.423003	0	0	0.144245	0	0.690104511
0	0	0	0	0.279819	0
0	0.463985	0.635847	0.144245	0.839457	0.212983257
0.423003	0.463985	1.280473654	0.721224	1.145845652	0.815043248
0	0	0	0	0	0
0	0	0.953771	0.144245	0.559638	1.116073244
0	0	0	0	0	0
0.423003	0	0.158962	0	0	0.514013252
0	0	0.317924	0	0	0.212983257
0	0.927971	1.104381256	0.432734	0	0.690104511
0	0.463985	0.317924	0.721224	0.559638	0.212983257
1.103465044	0.927971	1.405412959	0.721224	0.839457	0.911953261
1.228402925	0.927971	1.632656678	1.664249805	1.560820911	1.292164503
0	0.927971	0.476885	1.062190755	0.839457	0.690104511
0	0.463985	0	0.144245	0	0
0.846006	0	0.158962	0.432734	0.279819	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0.28849	0	0
0	0	0.158962	0.144245	0.279819	0
0	0.463985	0.476885	0.28849	0	0
0.423003	0	0.635847	0	0.559638	0.514013252
0.846006	0	0	0.28849	0	0.514013252
0	0	0.158962	0.144245	0	0.212983257
0	0	0.158962	0.28849	0	0.212983257
0.423003	0	0.317924	0.144245	0.279819	0.212983257
0.423003	0	0.317924	0.432734	0.279819	0.212983257
0	0.463985	0.317924	0.576979	0.279819	0.212983257
0.846006	0	0.158962	0	0	0
0	0	0	0.28849	0	0.212983257
0	0	0.317924	0	0	0
0	0	0	0.144245	0.279819	0.212983257
0	0	0.158962	0.144245	0	0
0	0	0.158962	0.144245	0.559638	0
0	0.463985	0.476885	0	0.279819	0
0	0	0.476885	1.062190755	1.048938744	0.815043248
1.325312425	1.444655191	1.745360582	1.703168382	1.702149533	1.593194498
0	0.463985	0.317924	0.432734	0	0.212983257
0	0	0	0	0	0
0.846006	0	0.317924	0.28849	0	0.212983257
0	0.463985	0.158962	0.28849	0.279819	0
1.103465044	1.143626755	1.377384577	1.238282014	0.559638	0.991134507
1.228402925	0.927971	1.155536435	1.305228804	0.559638	0.815043248
0.423003	0	0	0.144245	0	0.212983257
0	0.463985	0.158962	0.721224	0	0.514013252
0	0	0	0	0	0
0	0	0.158962	0	0.279819	0.212983257
0	0	0.953771	0.865469	0.839457	0.815043248
0.423003	0.463985	0.635847	0.144245	0	0.690104511
0	0	0.953771	0.865469	0	0.690104511
0	0	0.158962	0.576979	0	0.212983257
0	0	0.158962	0.721224	0.559638	0.815043248
0	0	1.104381256	0.144245	0	0.514013252
0.423003	0	0.476885	0.721224	0	0.212983257
0	0	0	0	0	0
0	0.463985	0	0.144245	0.279819	0.212983257
0	0	0	0.576979	0	0.514013252
0.423003	0	0.317924	0	0	0.514013252
0	0.463985	0.953771	0.28849	0.839457	0.991134507
0.423003	0	1.046389797	1.004196657	0.559638	0.911953261
0	0	0.158962	0	0	0
0	0	0.317924	0	0	0
0.423003	0	1.046389797	1.062190755	0	0.212983257
0	0	0.158962	0.28849	0	0.212983257
0.423003	1.268563932	0.317924	0	0.279819	0.212983257
0.423003	0	0.635847	0	0	0
1.228402925	1.143626755	1.563020442	1.52082795	1.291974575	0.991134507
0	0.463985	0.158962	0	0	0
0.846006	0.463985	1.280473654	1.062190755	1.048938744	1.058081297
0	0	0.158962	0.144245	0	0
0.423003	0	0.158962	0.721224	0.279819	0.514013252
